;docid;docnumber;docdate;parent;request;date;hour;name;federal_district;region_with_type;city;timezone;lat;lon;local_time
1995;473527;ОП-З-01862-001;2023-09-13 13:04:14.288463+03:00;473442;1021000541979;2023-09-13;13;"ГАПОУ РК ""ПЕТРОЗАВОДСКИЙ АВТОТРАНСПОРТНЫЙ ТЕХНИКУМ"", ГАПОУ РК ""ПАТТ""";Северо-Западный;Респ Карелия;Петрозаводск;UTC+3;61.8003555;34.3182861;2023-09-13 13:04:14.288463+03:00
1996;448311;ОП-З-01078-001;2023-08-16 13:20:30.576649+03:00;448296;1022402137460;2023-08-16;13;"ФГАОУ ВО ""СИБИРСКИЙ ФЕДЕРАЛЬНЫЙ УНИВЕРСИТЕТ"",СИБИРСКИЙ ФЕДЕРАЛЬНЫЙ УНИВЕРСИТЕТ,СФУ";Сибирский;Красноярский край;Красноярск;UTC+7;56.0038282;92.7702962;2023-08-16 17:20:30.576649+07:00
1997;465497;ОП-З-01596-001;2023-09-07 09:28:30.143968+03:00;465121;1023500891512;2023-09-07;9;"БПОУ ВО ""ГУБЕРНАТОРСКИЙ КОЛЛЕДЖ НАРОДНЫХ ПРОМЫСЛОВ""";Северо-Западный;Вологодская обл;Вологда;UTC+3;59.2000311;39.9202735;2023-09-07 09:28:30.143968+03:00
1998;486796;ОП-З-02211-001;2023-09-29 10:41:20.108846+03:00;486640;1020100700641;2023-09-29;10;"ГБПОО РА ""МАЙКОПСКИЙ МЕДИЦИНСКИЙ КОЛЛЕДЖ""";Южный;Респ Адыгея;Майкоп;UTC+3;44.6028696;40.1001747;2023-09-29 10:41:20.108846+03:00
1999;483582;ОП-З-02117-002;2023-09-26 15:56:16.410238+03:00;483402;1034316526342;2023-09-26;15;"КОГПОБУ ""КИРОВСКИЙ АВИАЦИОННЫЙ ТЕХНИКУМ""";Приволжский;Кировская обл;Киров;UTC+3;58.611818;49.656048;2023-09-26 15:56:16.410238+03:00
2000;467472;З-01669;2023-09-08 09:22:01.626358+03:00;0;1025602002007;2023-09-08;9;ГАПОУ ОНТ ИМ. В.А. СОРОКИНА;Приволжский;Оренбургская обл;Орск;UTC+5;51.2450357;58.4626669;2023-09-08 11:22:01.626358+05:00
2001;485081;ОП-З-02158-002;2023-09-28 10:09:34.398992+03:00;484723;1153668049028;2023-09-28;10;"ГБПОУ ВО ""БТПИТ""";Центральный;Воронежская обл;Борисоглебск;UTC+3;51.3661017;42.0810139;2023-09-28 10:09:34.398992+03:00
2002;446031;О-З-01015-002;2023-08-09 17:38:02.288629+03:00;445772;1159102004050;2023-08-09;17;"ГАПОУ РК ""КМК""";Южный;Респ Крым;Симферополь;UTC+3;44.966766;34.090769;2023-08-09 17:38:02.288629+03:00
2003;439223;З-00783;2023-07-20 17:57:02.721163+03:00;0;1020100708682;2023-07-20;17;"МБОУ ""МАЙКОПСКАЯ ГИМНАЗИЯ № 5""";Южный;Респ Адыгея;Майкоп;UTC+3;44.5998803;40.1087701;2023-07-20 17:57:02.721163+03:00
2004;495464;З-02402;2023-10-10 08:59:01.548849+03:00;0;1025300993838;2023-10-10;8;"ОГА ПОУ ""БОРОВИЧСКИЙ ПЕДАГОГИЧЕСКИЙ КОЛЛЕДЖ""";Северо-Западный;Новгородская обл;Боровичи;UTC+3;58.3875001;33.9260661;2023-10-10 08:59:01.548849+03:00
2005;446211;ОП-З-01029-001;2023-08-10 12:15:44.848190+03:00;446200;1020800762927;2023-08-10;12;"БПОУ РК ""ТТК""";Южный;Респ Калмыкия;Элиста;UTC+3;46.3063174;44.2641566;2023-08-10 12:15:44.848190+03:00
